States/UTs,Year,CrimeHead,Offenders (Driver/Pedestrian) Died_Male,Offenders (Driver/Pedestrian) Died_Female,Offenders (Driver/Pedestrian) Died_Transgender,Offenders (Driver/Pedestrian) Died_Total,Victims Died_Male,Victims Died_Female,Victims Died_Transgender,Victims Died_Total
Andhra Pradesh,2014,Truck/Lorry (Total),445,30,0,475,871,135,0,1006
Andhra Pradesh,2014,Truck/Lorry - Normal Goods Carriers,357,25,0,382,577,101,0,678
Andhra Pradesh,2014,Truck/Lorry - Trailer/Container Carriers,12,0,0,12,25,0,0,25
Andhra Pradesh,2014,Truck/Lorry - Tankers,10,0,0,10,102,15,0,117
Andhra Pradesh,2014,Truck/Lorry - Others,66,5,0,71,167,19,0,186
Andhra Pradesh,2014,Bus (Total),78,14,0,92,340,87,0,427
Andhra Pradesh,2014,Bus - Government,25,3,0,28,233,64,0,297
Andhra Pradesh,2014,Bus - Private,50,9,0,59,84,20,0,104
Andhra Pradesh,2014,Bus - School Bus,3,2,0,5,23,3,0,26
Andhra Pradesh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),45,2,0,47,128,41,0,169
Andhra Pradesh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,0,0,0,0
Andhra Pradesh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,35,0,0,35,89,34,0,123
Andhra Pradesh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,10,2,0,12,39,7,0,46
Andhra Pradesh,2014,Car (4 & 5 Seater) (Total),202,15,0,217,472,104,0,576
Andhra Pradesh,2014,Car (4 & 5 Seater) - Government,6,0,0,6,3,0,0,3
Andhra Pradesh,2014,Car (4 & 5 Seater) - Private,156,15,0,171,375,93,0,468
Andhra Pradesh,2014,Car (4 & 5 Seater) - Taxi,40,0,0,40,94,11,0,105
Andhra Pradesh,2014,Jeep (Total),53,1,0,54,84,20,0,104
Andhra Pradesh,2014,Jeep - Government,0,0,0,0,0,9,0,9
Andhra Pradesh,2014,Jeep - Private,53,1,0,54,84,11,0,95
Andhra Pradesh,2014,Tractor (Total),97,11,0,108,261,53,0,314
Andhra Pradesh,2014,Three Wheeler/Auto rickshaw (Total),206,11,0,217,630,216,0,846
Andhra Pradesh,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,198,11,0,209,566,181,0,747
Andhra Pradesh,2014,Three Wheeler/Auto rickshaw - Goods Carriers,8,0,0,8,64,35,0,99
Andhra Pradesh,2014,Two Wheeler (Total),755,27,0,782,904,233,0,1137
Andhra Pradesh,2014,Two Wheeler - Motor Cycle,713,24,0,737,835,208,0,1043
Andhra Pradesh,2014,Two Wheeler - Scooter,24,3,0,27,44,22,0,66
Andhra Pradesh,2014,Two Wheeler - Others,18,0,0,18,25,3,0,28
Andhra Pradesh,2014,Other Motor Vehicles,102,11,0,113,379,50,0,429
Andhra Pradesh,2014,Sub Total (Motor Vehicles),1983,122,0,2105,4069,939,0,5008
Andhra Pradesh,2014,Bicycle,21,2,0,23,13,11,0,24
Andhra Pradesh,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),1,0,0,1,1,0,0,1
Andhra Pradesh,2014,Animal Drawn Vehicle,1,1,0,2,2,0,0,2
Andhra Pradesh,2014,Pedestrian,16,3,0,19,222,94,0,316
Andhra Pradesh,2014,Others,27,4,0,31,289,87,0,376
Andhra Pradesh,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,66,10,0,76,527,192,0,719
Andhra Pradesh,2014,Total,2049,132,0,2181,4596,1131,0,5727
Arunachal Pradesh,2014,Truck/Lorry (Total),13,0,0,13,15,4,0,19
Arunachal Pradesh,2014,Truck/Lorry - Normal Goods Carriers,5,0,0,5,14,4,0,18
Arunachal Pradesh,2014,Truck/Lorry - Trailer/Container Carriers,0,0,0,0,1,0,0,1
Arunachal Pradesh,2014,Truck/Lorry - Tankers,1,0,0,1,0,0,0,0
Arunachal Pradesh,2014,Truck/Lorry - Others,7,0,0,7,0,0,0,0
Arunachal Pradesh,2014,Bus (Total),0,0,0,0,3,0,0,3
Arunachal Pradesh,2014,Bus - Government,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Bus - Private,0,0,0,0,3,0,0,3
Arunachal Pradesh,2014,Bus - School Bus,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),6,2,0,8,2,2,0,4
Arunachal Pradesh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,1,0,0,1
Arunachal Pradesh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,6,1,0,7,1,0,0,1
Arunachal Pradesh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,0,1,0,1,0,2,0,2
Arunachal Pradesh,2014,Car (4 & 5 Seater) (Total),10,1,0,11,2,1,0,3
Arunachal Pradesh,2014,Car (4 & 5 Seater) - Government,0,0,0,0,1,0,0,1
Arunachal Pradesh,2014,Car (4 & 5 Seater) - Private,10,1,0,11,1,1,0,2
Arunachal Pradesh,2014,Car (4 & 5 Seater) - Taxi,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Jeep (Total),0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Jeep - Government,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Jeep - Private,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Tractor (Total),1,0,0,1,0,0,0,0
Arunachal Pradesh,2014,Three Wheeler/Auto rickshaw (Total),0,0,0,0,3,0,0,3
Arunachal Pradesh,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,0,0,0,0,3,0,0,3
Arunachal Pradesh,2014,Three Wheeler/Auto rickshaw - Goods Carriers,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Two Wheeler (Total),15,1,0,16,7,4,0,11
Arunachal Pradesh,2014,Two Wheeler - Motor Cycle,15,1,0,16,6,4,0,10
Arunachal Pradesh,2014,Two Wheeler - Scooter,0,0,0,0,1,0,0,1
