S. No.,State/ UT,Non-wearing of Helmet - Male,Non-wearing of Helmet - Female,Non-wearing of Helmet - Total,Non-wearing of seat belt - Male,Non-wearing of seat belt - Female,Non-wearing of seat belt - Total
1,Andhra Pradesh,459,18,477,222,15,237
2,Arunachal Pradesh,10,4,14,0,0,0
3,Assam,0,0,0,0,0,0
4,Bihar,0,0,0,0,0,0
5,Chhattisgarh,89,7,96,6,0,6
6,Goa,174,0,174,37,4,41
7,Gujarat,103,3,106,86,19,105
8,Haryana,79,1,80,25,0,25
9,Himachal Pradesh,123,2,125,400,50,450
10,Jammu & Kashmir,0,0,0,0,0,0
11,Jharkhand,17,0,17,0,0,0
12,Karnataka,237,7,244,39,5,44
13,Kerala,676,163,839,258,114,372
14,Madhya Pradesh,297,48,345,174,32,206
15,Maharashtra,1029,84,1113,314,44,358
16,Manipur,0,0,0,0,0,0
17,Meghalaya,12,6,18,0,0,0
18,Mizoram,0,0,0,0,0,0
19,Nagaland,0,0,0,0,0,0
20,Orissa,56,5,61,19,3,22
21,Punjab,0,0,0,0,0,0
22,Rajasthan,439,31,470,314,36,350
23,Sikkim,0,0,0,0,0,0
24,Tamil Nadu,1799,147,1946,542,90,632
25,Telangana,0,0,0,0,0,0
26,Tripura,0,0,0,0,0,0
27,Uttarakhand,42,1,43,0,0,0
28,Uttar Pradesh,2826,992,3818,2016,725,2741
29,West Bengal,131,0,131,45,0,45
30,A & N Islands,0,0,0,0,0,0
31,Chandigarh,0,0,0,0,0,0
32,D & N Haveli,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0
34,Delhi,2,0,2,2,2,4
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,16,0,16,0,0,0
Total,Total,8616,1519,10135,4499,1139,5638
