S.No,State/UT,Single Lane - Accident - 2014,Single Lane - Accident - 2014 per 1L people,Single Lane - Killed - 2014,Single Lane - Killed - 2014 per 1L people,Single Lane - Injured - 2014,Single Lane - Injured - 2014 per 1L people,Two Lanes - Accident - 2014,Two Lanes - Accident - 2014 per 1L people,Two Lanes - Killed - 2014,Two Lanes - Killed - 2014 per 1L people,Two Lanes - Injured - 2014,Two Lanes - Injured - 2014 per 1L people,3 Lanes or more w.o Median - Accident - 2014,3 Lanes or more w.o Median - Accident - 2014 per 1L people,3 Lanes or more w.o Median - Killed - 2014,3 Lanes or more w.o Median - Killed - 2014 per 1L people,3 Lanes or more w.o Median - Injured - 2014,3 Lanes or more w.o Median - Injured - 2014 per 1L people,4 Lanes with Median - Accident - 2014,4 Lanes with Median - Accident - 2014 per 1L people,4 Lanes with Median - Killed - 2014,4 Lanes with Median - Killed - 2014 per 1L people,4 Lanes with Median - Injured - 2014,4 Lanes with Median - Injured - 2014 per 1L people,Population
1,Andhra Pradesh,8634,16.4737500980955,2958,5.64389075633154,13541,25.8363504839369,10327,19.7040094119797,2994,5.71257908196641,10122,19.31286755767,1188,2.2667147459506,396,0.755571581983533,1199,2.28770284545014,4291,8.18726681386702,1560,2.97649411084422,5069,9.6716978511983,52410653
2,Arunachal Pradesh,90,6.50417314976148,60,4.33611543317432,152,10.9848257640416,115,8.31088791358411,59,4.26384684262141,156,11.2739001262532,0,0,0,0,0,0,0,0,0,0,0,0,1383727
3,Assam,3888,12.4593117588985,1217,3.89994403564286,3195,10.2385548018726,2432,7.79347896029863,1035,3.31671493581788,2510,8.04343428879505,56,0.179455107638455,25,0.0801138873385962,42,0.134591330728842,768,2.46109861904167,245,0.785116095918242,752,2.40982573114497,31205576
4,Bihar,3731,3.58407266159288,1815,1.74352502835462,2475,2.37753412957448,4156,3.99233609798445,2096,2.01345920629822,3092,2.97023657723001,756,0.72622860685184,390,0.374641741629918,485,0.465900627411564,913,0.87704592335414,612,0.587899348403871,588,0.564844471995876,104099452
5,Chhattisgarh,7961,31.1643699140637,2244,8.78442985644504,7762,30.3853585319636,4696,18.3831027655374,1524,5.96589621266588,4661,18.2460907134092,0,0,0,0,0,0,1164,4.5566293907763,254,0.994316035444313,734,2.87333846463042,25545198
6,Goa,2523,172.980607386128,187,12.8209962668276,1091,74.8005718027212,1706,116.96588038079,103,7.06183216835956,788,54.0264441618188,0,0,0,0,0,0,0,0,0,0,0,0,1458545
7,Gujarat,10978,18.1635604628826,3101,5.1307342863362,10673,17.6589251976996,7475,12.3677003516166,2669,4.41597220581468,7101,11.7489016985725,642,1.06221586966393,248,0.410326379558652,526,0.870289014709076,4617,7.63901973557377,1937,3.20484756937544,4193,6.93749398987672,60439692
8,Haryana,4090,16.1331918451094,1565,6.17321399452229,3485,13.7467417066519,3420,13.4903462372308,1451,5.72353578661459,2875,11.3405688397774,722,2.84796198341539,340,1.34114553235628,390,1.53837281652632,2444,9.64046965023161,1127,4.44550298519273,2194,8.65433322938141,25351462
9,Himachal Pradesh,1183,17.2333370528983,528,7.69163310560467,2322,33.8257046803296,1875,27.314038017062,671,9.7747837383726,3254,47.4026025106772,0,0,0,0,0,0,0,0,0,0,0,0,6864602
10,Jammu & Kashmir,3761,29.9889118370644,548,4.36956226713941,4129,32.9232164252165,1935,15.4290200491145,419,3.34096093053177,3654,29.1357308834442,112,0.893049222481047,21,0.167446729215196,202,1.61067806197475,53,0.422603649924067,4,0.0318946150886088,58,0.462471918784828,12541302
