Sl. No,States/UTs,Fault of Driver-Total No. of Road Accidents - 2014,Fault of Driver-Total No. of Road Accidents - 2014 per 1L people,Fault of Driver-Number of Persons-Killed - 2014,Fault of Driver-Number of Persons-Killed - 2014 per 1L people,Fault of Driver-Number of Persons-Injured - 2014,Fault of Driver-Number of Persons-Injured - 2014 per 1L people,Fault of Driver of other vehicles-Total No. of Road Accidents - 2014,Fault of Driver of other vehicles-Total No. of Road Accidents - 2014 per 1L people,Fault of Driver of other vehicles-Number of Persons-Killed - 2014,Fault of Driver of other vehicles-Number of Persons-Killed - 2014 per 1L people,Fault of Driver of other vehicles-Number of Persons-Injured - 2014,Fault of Driver of other vehicles-Number of Persons-Injured - 2014 per 1L people,Fault of Pedestrian-Total No. of Road Accidents - 2014,Fault of Pedestrian-Total No. of Road Accidents - 2014 per 1L people,Fault of Pedestrian-Number of Persons-Killed - 2014,Fault of Pedestrian-Number of Persons-Killed - 2014 per 1L people,Fault of Pedestrian-Number of Persons-Injured - 2014,Fault of Pedestrian-Number of Persons-Injured - 2014 per 1L people,Defect in Condition of Motor Vehicle-Total No. of Road Accidents - 2014,Defect in Condition of Motor Vehicle-Total No. of Road Accidents - 2014 per 1L people,Defect in Condition of Motor Vehicle-Number of Persons-Killed - 2014,Defect in Condition of Motor Vehicle-Number of Persons-Killed - 2014 per 1L people,Defect in Condition of Motor Vehicle-Number of Persons-Injured - 2014,Defect in Condition of Motor Vehicle-Number of Persons-Injured - 2014 per 1L people,Defect in Road Condition-Total No. of Road Accidents - 2014,Defect in Road Condition-Total No. of Road Accidents - 2014 per 1L people,Defect in Road Condition-Number of Persons-Killed - 2014,Defect in Road Condition-Number of Persons-Killed - 2014 per 1L people,Defect in Road Condition-Number of Persons-Injured - 2014,Defect in Road Condition-Number of Persons-Injured - 2014 per 1L people,Weather Condition-Total No. of Road Accidents - 2014,Weather Condition-Total No. of Road Accidents - 2014 per 1L people,Weather Condition-Number of Persons-Killed - 2014,Weather Condition-Number of Persons-Killed - 2014 per 1L people,Weather Condition-Number of Persons-Injured - 2014,Weather Condition-Number of Persons-Injured - 2014 per 1L people,Fault of Passenger-Total No. of Road Accidents - 2014,Fault of Passenger-Total No. of Road Accidents - 2014 per 1L people,Fault of Passenger-Number of Persons-Killed - 2014,Fault of Passenger-Number of Persons-Killed - 2014 per 1L people,Fault of Passenger-Number of Persons-Injured - 2014,Fault of Passenger-Number of Persons-Injured - 2014 per 1L people,Poor light-Total No. of Road Accidents - 2014,Poor light-Total No. of Road Accidents - 2014 per 1L people,Poor light-Number of Persons-Killed - 2014,Poor light-Number of Persons-Killed - 2014 per 1L people,Poor light-Number of Persons-Injured - 2014,Poor light-Number of Persons-Injured - 2014 per 1L people,Falling of boulders-Total No. of Road Accidents - 2014,Falling of boulders-Total No. of Road Accidents - 2014 per 1L people,Falling of boulders-Number of Persons-Killed - 2014,Falling of boulders-Number of Persons-Killed - 2014 per 1L people,Falling of boulders-Number of Persons-Injured - 2014,Falling of boulders-Number of Persons-Injured - 2014 per 1L people,Other causes/causes not known-Total No. of Road Accidents - 2014,Other causes/causes not known-Total No. of Road Accidents - 2014 per 1L people,Other causes/causes not known-Number of Persons-Killed - 2014,Other causes/causes not known-Number of Persons-Killed - 2014 per 1L people,Other causes/causes not known-Number of Persons-Injured - 2014,Other causes/causes not known-Number of Persons-Injured - 2014 per 1L people,Population
1,Andhra Pradesh,21359,40.7531652009755,6743,12.8657049932196,26287,50.1558337767705,288,0.549506605078933,75,0.143100678405972,425,0.810903844300509,234,0.446474116626633,104,0.198432940722948,160,0.305281447266074,67,0.127836606042668,26,0.049608235180737,85,0.162180768860102,285,0.543782577942694,192,0.366337736719289,442,0.843339998072529,60,0.114480542724778,19,0.0362521718628463,70,0.133560633178907,68,0.129744615088081,18,0.0343441628174333,133,0.253765203039924,191,0.364429727673876,76,0.145008687451385,310,0.591482804078018,6,0.0114480542724778,1,0.00190800904541296,12,0.0228961085449555,1530,2.91925383948183,545,1.03986492975006,1617,3.08525062643276,52410653
2,Arunachal Pradesh,30,2.16805771658716,19,1.3731032205052,30,2.16805771658716,20,1.44537181105811,14,1.01176026774067,45,3.25208657488074,0,0,0,0,0,0,17,1.22856603939939,8,0.578148724423242,22,1.58990899216392,15,1.08402885829358,9,0.650417314976148,29,2.09578912603425,23,1.66217758271682,13,0.939491677187769,25,1.80671476382263,11,0.794954496081958,4,0.289074362211621,27,1.95125194492844,34,2.45713207879878,21,1.51764040161101,33,2.38486348824588,0,0,0,0,0,0,34,2.45713207879878,22,1.58990899216392,54,3.90250388985689,1383727
3,Assam,6895,22.0954101279848,2429,7.783865293818,6281,20.1278130549489,2,0.00640911098708769,1,0.00320455549354385,1,0.00320455549354385,144,0.461455991070314,53,0.169841441157824,129,0.413387658667156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0.137795886222385,10,0.0320455549354385,35,0.112159442274035,31205576
4,Bihar,5008,4.81078421046827,2646,2.54180012398144,3374,3.24113137502395,608,0.584056869002538,254,0.243997441984613,395,0.379444840881583,286,0.274737277195273,144,0.13832925844797,233,0.223824425127617,541,0.519695339030219,302,0.290107194800603,355,0.341020046868258,446,0.428436453248572,252,0.242076202283947,282,0.27089479779394,409,0.392893518786247,210,0.201730168569956,306,0.293949674201935,393,0.377523601180917,153,0.146974837100968,311,0.298752773453601,329,0.316043930759597,168,0.161384134855964,229,0.219981945726285,82,0.078770827727316,44,0.0422672734146574,58,0.0557159513193211,960,0.922195056319797,528,0.507207280975888,745,0.715661788498176,104099452
5,Chhattisgarh,9108,35.6544505938063,2458,9.62216068945717,8710,34.0964278296062,726,2.84202142414398,253,0.990401405383509,665,2.60322899043491,146,0.57153598887744,41,0.16049983249298,139,0.544133578451809,672,2.63063140086055,229,0.896450283924204,489,1.91425409973334,440,1.72243722675393,142,0.555877468634222,381,1.49147405316647,212,0.829901572890529,60,0.234877803648263,206,0.806413792525703,286,1.11958419739005,65,0.254450953952285,304,1.19004753848453,352,1.37794978140314,90,0.352316705472394,436,1.70677870651071,26,0.101780381580914,7,0.0274024104256307,38,0.148755942310567,1552,6.0755058543684,555,2.17261968374643,1421,5.56268931640303,25545198
6,Goa,3795,260.1908065915,247,16.9346849085904,1650,113.126437648478,0,0,0,0,0,0,175,11.998258538475,29,1.98828284351871,86,5.89628705319342,17,1.16554511516614,0,0,13,0.891299205715285,1,0.0685614773627142,0,0,0,0,1,0.0685614773627142,0,0,0,0,0,0,0,0,0,0,3,0.205684432088143,0,0,0,0,0,0,0,0,0,0,143,9.80429126286813,6,0.411368864176285,83,5.69060262110528,1458545
7,Gujarat,18945,31.3452954062043,6635,10.977885195047,18256,30.2053160694465,450,0.744543833876586,170,0.281272115020043,516,0.853743596178485,1512,2.50166728182533,405,0.670089450488927,1311,2.16910436936045,161,0.266381238342512,60,0.0992725111835447,164,0.271344863901689,203,0.335871996170993,32,0.0529453392978905,107,0.177035978277321,194,0.320981119493461,43,0.0711452996815404,241,0.398744586587238,134,0.221708608309917,43,0.0711452996815404,137,0.226672233869094,154,0.254799445371098,44,0.0727998415345995,150,0.248181277958862,3,0.00496362555917724,2,0.00330908370611816,0,0,1328,2.19723158086246,375,0.620453194897155,932,1.54203300705106,60439692
8,Haryana,8208,32.376830969354,3186,12.567322547315,7633,30.1087172013985,456,1.79871283163078,210,0.828354593514173,202,0.796798228046966,348,1.37270189782349,140,0.552236395676115,193,0.761297316896359,165,0.650850037761136,107,0.422066388123888,96,0.378676385606479,141,0.556180941359516,74,0.291896380571661,56,0.220894558270446,127,0.500957301791905,75,0.295840926255062,68,0.268229106471256,154,0.607460035243727,97,0.38262093128988,80,0.315563654672066,132,0.520680030208909,79,0.311619108988665,82,0.323452746038867,130,0.512790938842107,80,0.315563654672066,56,0.220894558270446,525,2.07088648378543,286,1.12814006545264,315,1.24253189027126,25351462
9,Himachal Pradesh,2936,42.7701416629835,1148,16.7234750099132,5326,77.5864354553986,22,0.320484712733528,3,0.0437024608272992,30,0.437024608272992,0,0,0,0,0,0,74,1.07799403374005,37,0.538997016870024,156,2.27252796301956,25,0.364187173560827,11,0.160242356366764,63,0.917751677373284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6864602
10,Jammu & Kashmir,3614,28.8167847325581,561,4.47321976617739,4088,32.5962966205582,380,3.02998843341784,62,0.494366533873437,937,7.47131358450662,223,1.77812479118994,35,0.279077882025327,133,1.06049595169624,341,2.7190159363039,38,0.302998843341784,193,1.53891517802538,113,0.901022876253199,11,0.0877101914936743,128,1.02062768283548,20,0.159473075443044,2,0.0159473075443044,36,0.287051535797479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,7.01681531949394,196,1.56283613934183,1701,13.5631850664309,12541302
