Sl. No.,States/UTs,Two-Wheelers - Number of Road Accidents - Fatal - 2014,Two-Wheelers - Number of Road Accidents - Fatal - 2014 per 1L people,Two-Wheelers - Number of Road Accidents - Total - 2014,Two-Wheelers - Number of Road Accidents - Total - 2014 per 1L people,Two-Wheelers - Number of Persons - Killed - 2014,Two-Wheelers - Number of Persons - Killed - 2014 per 1L people,Two-Wheelers - Number of Persons - Injured - 2014,Two-Wheelers - Number of Persons - Injured - 2014 per 1L people,Auto-Rickshaws - Number of Road Accidents - Fatal - 2014,Auto-Rickshaws - Number of Road Accidents - Fatal - 2014 per 1L people,Auto-Rickshaws - Number of Road Accidents - Total - 2014,Auto-Rickshaws - Number of Road Accidents - Total - 2014 per 1L people,Auto-Rickshaws - Number of Persons - Killed - 2014,Auto-Rickshaws - Number of Persons - Killed - 2014 per 1L people,Auto-Rickshaws - Number of Persons - Injured - 2014,Auto-Rickshaws - Number of Persons - Injured - 2014 per 1L people,"Cars, Jeeps,Taxis - Number of Road Accidents - Fatal - 2014","Cars, Jeeps,Taxis - Number of Road Accidents - Fatal - 2014 per 1L people","Cars, Jeeps,Taxis - Number of Road Accidents - Total - 2014","Cars, Jeeps,Taxis - Number of Road Accidents - Total - 2014 per 1L people","Cars, Jeeps,Taxis - Number of Persons - Killed - 2014","Cars, Jeeps,Taxis - Number of Persons - Killed - 2014 per 1L people","Cars, Jeeps,Taxis - Number of Persons - Injured - 2014","Cars, Jeeps,Taxis - Number of Persons - Injured - 2014 per 1L people",Buses - Number of Road Accidents - Fatal - 2014,Buses - Number of Road Accidents - Fatal - 2014 per 1L people,Buses - Number of Road Accidents - Total - 2014,Buses - Number of Road Accidents - Total - 2014 per 1L people,Buses - Number of Persons - Killed - 2014,Buses - Number of Persons - Killed - 2014 per 1L people,Buses - Number of Persons - Injured - 2014,Buses - Number of Persons - Injured - 2014 per 1L people,"Trucks, Tempos,MAVs,Tractors - Number of Road Accidents - Fatal - 2014","Trucks, Tempos,MAVs,Tractors - Number of Road Accidents - Fatal - 2014 per 1L people","Trucks, Tempos,MAVs,Tractors - Number of Road Accidents - Total - 2014","Trucks, Tempos,MAVs,Tractors - Number of Road Accidents - Total - 2014 per 1L people","Trucks, Tempos,MAVs,Tractors - Number of Persons - Killed - 2014","Trucks, Tempos,MAVs,Tractors - Number of Persons - Killed - 2014 per 1L people","Trucks, Tempos,MAVs,Tractors - Number of Persons - Injured - 2014","Trucks, Tempos,MAVs,Tractors - Number of Persons - Injured - 2014 per 1L people",Other Motor Vehicles - Number of Road Accidents - Fatal - 2014,Other Motor Vehicles - Number of Road Accidents - Fatal - 2014 per 1L people,Other Motor Vehicles - Number of Road Accidents - Total - 2014,Other Motor Vehicles - Number of Road Accidents - Total - 2014 per 1L people,Other Motor Vehicles - Number of Persons - Killed - 2014,Other Motor Vehicles - Number of Persons - Killed - 2014 per 1L people,Other Motor Vehicles - Number of Persons - Injured - 2014,Other Motor Vehicles - Number of Persons - Injured - 2014 per 1L people,Other Vehicles/Objects - Number of Road Accidents - Fatal - 2014,Other Vehicles/Objects - Number of Road Accidents - Fatal - 2014 per 1L people,Other Vehicles/Objects - Number of Road Accidents - Total - 2014,Other Vehicles/Objects - Number of Road Accidents - Total - 2014 per 1L people,Other Vehicles/Objects - Number of Persons - Killed - 2014,Other Vehicles/Objects - Number of Persons - Killed - 2014 per 1L people,Other Vehicles/Objects - Number of Persons - Injured - 2014,Other Vehicles/Objects - Number of Persons - Injured - 2014 per 1L people,Population
1,Andhra Pradesh,1961,3.74160573805482,7239,13.8120774797444,2003,3.82174211796216,7333,13.9914303300133,950,1.81260859314231,4442,8.47537617972438,977,1.86412483736846,7173,13.6861488827472,889,1.69622004137212,3853,7.35155885197614,911,1.73819624037121,5429,10.358581107547,550,1.04940497497713,1732,3.30467166665525,567,1.08184112874915,2242,4.27775627981586,1701,3.24552338624745,4324,8.25023111236565,1758,3.35427990183599,5144,9.81479852960428,760,1.45008687451385,1571,2.99748221034376,808,1.54167130869367,1321,2.52047994899052,466,0.88913221516244,1279,2.44034356908318,884,1.68667999614506,1289,2.45942365953731,52410653
2,Arunachal Pradesh,15,1.08402885829358,34,2.45713207879878,21,1.51764040161101,30,2.16805771658716,7,0.505880133870337,17,1.22856603939939,7,0.505880133870337,36,2.60166925990459,17,1.22856603939939,42,3.03528080322202,25,1.80671476382263,72,5.20333851980918,5,0.361342952764527,15,1.08402885829358,7,0.505880133870337,27,1.95125194492844,21,1.51764040161101,42,3.03528080322202,26,1.87898335437554,85,6.14283019699695,0,0,0,0,0,0,0,0,27,1.95125194492844,55,3.97477248040979,33,2.38486348824588,58,4.19157825206851,1383727
3,Assam,489,1.56702763634294,1508,4.83246968426412,537,1.72084630003305,1342,4.30051347233584,65,0.20829610708035,292,0.935730204114803,75,0.240341662015788,296,0.948548426088978,475,1.52216385943333,1612,5.16574345559268,533,1.70802807805887,1422,4.55687791181935,176,0.564001766863717,628,2.01246084994554,246,0.788320651411786,788,2.52518972891255,517,1.65675519016217,1766,5.65924500159843,637,2.04130184938743,1538,4.92860634907044,374,1.1985037545854,1089,3.48976093246925,401,1.28502675291108,895,2.86807716672174,73,0.233932551028701,249,0.797934317892418,93,0.298023660899578,218,0.698593097592558,31205576
4,Bihar,769,0.738716664906171,1750,1.68108473808296,820,0.78770827727316,1131,1.08646105072676,126,0.121038101141973,354,0.340059427017925,144,0.13832925844797,326,0.313162071208598,726,0.697410011341846,1490,1.43132357699635,786,0.755047202361834,1077,1.03458757880877,478,0.459176288459232,961,0.92315567617013,543,0.521616578730885,680,0.653221498226523,1521,1.46110279235668,2828,2.71663293674207,1639,1.57445593469599,1818,1.74640688790562,271,0.260327979440276,596,0.572529430798541,291,0.279540376446938,443,0.425554593697573,614,0.589820588104537,1577,1.51489750397533,690,0.662827696729854,1165,1.11912212563809,104099452
5,Chhattisgarh,1074,4.20431268530391,4787,18.7393341010706,1126,4.40787344846574,4295,16.8133361111548,31,0.121353531884936,311,1.21744994891016,37,0.144841312249762,296,1.1587304979981,469,1.83596149851726,2978,11.6577683210755,648,2.53668027940124,3159,12.366316362081,148,0.579365248999049,675,2.64237529104296,189,0.739865081492028,1330,5.20645798086983,940,3.67975225715612,2907,11.3798295867583,1082,4.23562972579034,2448,9.58301438884913,766,2.99860662657616,1648,6.45131034020562,786,3.07689922779225,1191,4.66232440241802,142,0.555877468634222,515,2.01603448131426,154,0.602853029363875,438,1.71460796663232,25545198
6,Goa,130,8.91299205715285,1907,130.746737330696,134,9.18723796660371,838,57.4545180299545,2,0.137122954725428,34,2.33109023033228,2,0.137122954725428,17,1.16554511516614,60,4.11368864176285,1374,94.2034698963693,63,4.319373073851,533,36.5432674343267,23,1.57691397934243,354,24.2707629864008,23,1.57691397934243,277,18.9915292294718,33,2.26252875296957,315,21.596865369255,33,2.26252875296957,105,7.19895512308499,0,0,3,0.205684432088143,0,0,0,0,35,2.399651707695,242,16.5918775217768,35,2.399651707695,109,7.47320103253585,1458545
7,Gujarat,1535,2.53972174444569,5562,9.2025617867146,1689,2.79452118981678,5123,8.47621791322166,507,0.838852719500953,2186,3.61682849078715,596,0.986106944423211,2641,4.36964503392903,1165,1.92754125881383,4415,7.30480228125583,1369,2.26506779683788,4620,7.64398336113295,364,0.602253234513505,1165,1.92754125881383,438,0.724689331639877,1372,2.27003142239706,1873,3.09895689077966,5458,9.03048943399645,2081,3.44310159621594,4450,7.3627112461129,702,1.16148838084747,1763,2.91695728694316,793,1.31205168947585,1725,2.85408469652691,917,1.51721487925518,3163,5.23331588122587,989,1.63634189267543,2562,4.23893622753736,60439692
8,Haryana,300,1.18336370502025,1131,4.46128116792633,318,1.25436552732146,1370,5.40402758625913,129,0.508846393158706,405,1.59754100177733,180,0.710018223012148,250,0.986136420850206,898,3.54220202369394,2647,10.441212423962,989,3.90115568088341,2281,8.99750870383728,315,1.24253189027126,644,2.54028742011013,330,1.30170007552227,617,2.43378468665831,1288,5.08057484022026,2934,11.573297035098,1353,5.33697030964131,2432,9.5931351020308,597,2.35489377299029,1271,5.01351756360245,605,2.3864501384575,1424,5.61703305316277,687,2.70990288449637,1644,6.48483310351095,708,2.79273834384778,570,2.24839103953847,25351462
9,Himachal Pradesh,165,2.40363534550146,814,11.8579343711405,169,2.46190529327119,1083,15.776588358655,230,3.35052199675961,797,11.6102870931192,303,4.41394854355722,1314,19.1416778423571,204,2.97176733625635,664,9.67281132977556,444,6.46796420244029,1984,28.9018940937872,109,1.58785607672521,409,5.95810215945513,126,1.83550335474657,584,8.50741237438092,123,1.79180089391927,373,5.43367262952754,157,2.28709544996199,610,8.88616703488418,0,0,0,0,0,0,0,0,0,0,1,0.0145674869424331,0,0,1,0.0145674869424331,6864602
10,Jammu & Kashmir,226,1.8020457525064,1101,8.77899280313958,256,2.04125536567096,709,5.65332052445591,10,0.0797365377215221,64,0.510313841417741,15,0.119604806582283,174,1.38741575635448,140,1.11631152810131,725,5.78089898481035,170,1.35552114126587,769,6.13173975078505,98,0.781418069670916,1590,12.678109497722,105,0.837233646075982,1519,12.1119800798992,204,1.62662536951905,1364,10.8760637452156,222,1.77015113741779,1473,11.7451920063802,198,1.57878344688614,951,7.58294473731675,215,1.71433556101272,2949,23.5143049740769,10,0.0797365377215221,66,0.526261148962046,9,0.0717628839493698,450,3.58814419746849,12541302
